,title
73,《歌劇魅影》的經典曲也是首首催淚～當年來台灣開演的首場音樂劇還歷歷在目餒（阿迪仔） 更多歐美星消息都在星光雲App：https://goo.gl/DxAfcG…… 顯示更多
74,不得不說學壞的王子還是超級帥呀...還問入模範棒棒堂算不算幫派，先生你也太幽默了吧（阿迪仔）【最新電影資訊  都在星光雲APP ：https://goo.gl/DxAfcG】王子…… 顯示更多
75,還和X-Japan的團長Yoshiki一起大合唱！連嘉賓都是重量級的！去聽這場完全超值（阿迪仔） 更多歐美星消息都在星光雲App：https://goo.gl/DxAfcG…… 顯示更多
76,是有全球最性感百大美女之稱的 #蓋柏莉尤恩！這次找她來配音想必連聲音也超有磁性超性感吧（阿迪仔）【最新電影資訊  都在星光雲APP ：https://goo.gl/DxAfcG】#…… 顯示更多
77,連片中可愛的姪子酉鑫也來到現場！小番茄超想要啦！遇到超幸運的～（阿迪仔）【最新電影資訊  都在星光雲APP ：https://goo.gl/DxAfcG】#…… 顯示更多
78,一對老夫妻住在乾旱已久的玻利維亞高原上，某天住在城市的孫子來訪想帶著他們離開，但老夫妻有著對這片土地的堅持，是留下來保護家園？還是選擇離開？難題未解...（阿迪仔）…… 顯示更多
79,關於剃掉眉毛跟頭髮這件事造型的浮誇度上只有Doja Cat可以超越Doja Cat本人！！！（羊羹） 更多歐美明星消息都在星光雲App：…… 顯示更多
80,恐怖的是餐廳還真的是以「人頭」收費...是說我的安雅會不會太美了！（甩妮）【最新電影資訊  都在星光雲APP ：https://goo.gl/DxAfcG】…… 顯示更多
81,已經連續三週是冠軍了ㄟ（甩妮）【燒燙燙的電影資訊：https://goo.gl/DxAfcG】#鈴芽的門鎖
82,香港傳奇導演 #王家衛 的經典作之一！#梁朝偉 #鞏俐 #木村拓哉 #王菲 #章子怡 #張震影帝影后級人物匯集...這部絕對此生必看（阿迪仔）【最新電影資訊  都在星光雲APP ：https://goo.gl/DxAfcG】…… 顯示更多
83,會演戲又會主持的 #謝盈萱 這次讓大家留下深刻的印象啦（甩妮）【追星消息都在星光雲APPhttps://goo.gl/DxAfcG】謝盈…… 顯示更多
84,SnoopDogg扮裝秀從來不會讓人失望...這次又超ㄎㄧㄤ打扮成巴斯光年！那個人頭跟身體比例失衡超嚴重結果底下網友超有才，就開始瘋狂幫SnoopDogg改圖分成迪士尼版、美漫版還有尤達大師版 XDDD（阿迪仔）…… 顯示更多
85,今年金馬最大贏家 #智齒LIMBO 要上映了強勢入圍13項最終獲得4項大獎！整體黑白色調畫面強烈的讓人難以忘記...香港導演 #鄭保瑞 籌備5年的最新力作，這部真的超期待餒（阿迪仔）…… 顯示更多
86,常飾演媽媽角色的采靈，這次演婆婆應該也是輕鬆應對吧（阿迪仔）【最新電影資訊  都在星光雲APP ：https://goo.gl/DxAfcG】#WOMEN我們不知道的事 應采靈 朱芷瑩Zhi-Ying Zhu
87,#CardiB 的孩子不可能每個都長得那麼可愛吧～這位就是她的一歲兒子Wave Set Cephus 圓圓的大眼睛跟老爸Offset有夠像！Cardi B還特別預告忙完事業可能還會有第三胎！！！（阿迪仔）C…… 顯示更多
88,剛生下來就有超濃眉毛！不愧是超強基因！一家三口都是高顏值餒（阿迪仔）你的追星夥伴！星光雲IG追了嗎https://www.instagram.com/starettoday/…… 顯示更多
89,講到運動項目超強的藝人～雷神絕對在榜上這次克里斯漢斯沃要來突破自我，挑戰各種極限！長時間憋氣、高空跳樓、山崖垂降樣樣來＼(º □ º l|l)/這感覺有點自虐...我們雷神可以順利完成挑戰嗎？（阿迪仔）…… 顯示更多
90,視章魚為初戀情人、海洋是永遠的歸宿，這樣不可思議的人竟然是改編自「魚君」宮澤正之的真實人生！美寶總在水族館流連忘返，對魚的滿腔熱血不僅令師長眼睛一亮，連不良少年都被收服，卻遇到求學工作的各種波折，最後成功翻轉人生！=== 堅持可以迎來新希望的《#魚之子》===活動時間：即刻起至11/30(三)下午16:00止，當天公布名單於本貼文及留言處。…… 顯示更多
91,很難想像童年該有多難受，現在的樣子完全看不出來！聽完故事一整個超心疼 #李程彬 未來的路上一定會越來越多彩！程彬加油呀（阿迪仔）【《她和她的她》李程彬公開理想型！　笑曝阿嬤列1條件：比較會生】h…… 顯示更多
